phibin,etabin,calib_factor
10, 75, 0.88012
10, 76, 0.900809
10, 77, 0.908884
10, 78, 0.864037
10, 79, 0.919504
10, 80, 0.943849
10, 81, 0.805037
10, 82, 0.941325
10, 83, 0.958622
10, 84, 0.921754
10, 85, 0.977349
10, 86, 0.938255
10, 87, 0.912684
10, 88, 0.982432
10, 89, 0.95984
10, 90, 0.895088
10, 91, 0.822661
10, 92, 0.906666
10, 93, 0.911697
10, 94, 0.793263
10, 95, 0.994489
11, 0, 0.99451
11, 1, 0.978075
11, 2, 0.931042
11, 3, 0.963538
11, 4, 1.41104
11, 5, 1.38135
11, 6, 0.957066
11, 7, 0.993213
11, 8, 0.964142
11, 9, 0.853527
11, 10, 1.11546
11, 11, 1.03921
11, 12, 0.985513
11, 13, 0.905246
11, 14, 0.87726
11, 15, 0.950986
11, 16, 0.969274
11, 17, 0.913902
11, 18, 0.931883
11, 19, 0.94159
11, 20, 0.933007
11, 21, 0.94408
11, 22, 0.948264
11, 23, 0.855171
11, 24, 1.08789
11, 25, 0.998404
11, 26, 1.04055
11, 27, 0.988915
11, 28, 0.878237
11, 29, 0.944914
11, 30, 1.14907
11, 31, 1.09756
11, 32, 1.0914
11, 33, 0.986724
11, 34, 0.800176
11, 35, 0.79793
11, 36, 0.868761
11, 37, 0.88944
11, 38, 0.978683
11, 39, 0.951263
11, 40, 0.937938
11, 41, 0.979956
11, 42, 1.09125
11, 43, 0.979679
11, 44, 1.09295
11, 45, 0.998037
11, 46, 1.08708
11, 47, 1.07484
11, 48, 0.994533
11, 49, 1.06887
11, 50, 0.986703
11, 51, 1.10655
11, 52, 0.685457
11, 53, 0.699343
11, 54, 0.933529
11, 55, 0.96622
11, 56, 1.0265
11, 57, 1.05213
11, 58, 0.995351
11, 59, 1.07603
11, 60, 0.880038
11, 61, 0.847062
11, 62, 0.925867
11, 63, 0.943185
11, 64, 1.01095
11, 65, 1.05989
11, 66, 0.969347
11, 67, 1.03967
11, 68, 0.843206
11, 69, 0.876788
11, 70, 0.852564
11, 71, 0.994111
11, 72, 0.819919
11, 73, 0.917023
11, 74, 0.952682
11, 75, 0.952301
11, 76, 0.926903
11, 77, 0.932324
11, 78, 0.820317
11, 79, 0.944604
11, 80, 0.903913
11, 81, 0.967283
11, 82, 0.849686
11, 83, 0.910426
11, 84, 0.919097
11, 85, 0.911708
11, 86, 0.98598
11, 87, 0.996401
11, 88, 0.94475
11, 89, 0.962361
11, 90, 0.86791
11, 91, 0.873593
11, 92, 0.914796
11, 93, 0.880843
11, 94, 0.746243
11, 95, 0.914697
12, 0, 0.618726
12, 1, 0.938964
12, 2, 0.856357
12, 3, 0.905145
12, 4, 0.772142
12, 5, 0.749172
12, 6, 0.872902
12, 7, 0.9316
12, 8, 1.02442
12, 9, 0.975916
12, 10, 0.98139
12, 11, 0.925238
12, 12, 0.979458
12, 13, 0.841963
12, 14, 1.06948
12, 15, 0.997852
12, 16, 0.968903
12, 17, 0.79936
12, 18, 0.934395
12, 19, 0.952208
12, 20, 0.919495
12, 21, 0.846211
12, 22, 0.997289
12, 23, 0.9357
12, 24, 1.10009
12, 25, 1.02666
12, 26, 0.933682
12, 27, 0.86594
12, 28, 0.982306
12, 29, 0.835476
12, 30, 0.955673
12, 31, 0.830232
12, 32, 0.817072
12, 33, 0.761474
12, 34, 0.818014
12, 35, 0.82307
12, 36, 1.02611
12, 37, 1.01035
12, 38, 0.925432
12, 39, 0.813453
12, 40, 0.857269
12, 41, 0.933974
12, 42, 1.00975
12, 43, 0.965281
12, 44, 0.953124
12, 45, 0.875079
12, 46, 0.921975
12, 47, 0.692267
12, 48, 0.837541
12, 49, 0.860733
12, 50, 1.10819
12, 51, 1.2383
12, 52, 1.05994
12, 53, 1.23204
12, 54, 0.885153
12, 55, 0.801619
12, 56, 1.07401
12, 57, 0.925518
12, 58, 1.03739
12, 59, 1.08345
12, 60, 1.13278
12, 61, 1.17142
12, 62, 0.921044
